ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
673,YNW Melly,Mixed Personalities,82,42,17,2019-05-25,"January 18, 2019"
674,Luke Bryan,Knockin' Boots,83,83,3,2019-05-25,"March 29, 2019"
675,Meek Mill,24/7,84,54,6,2019-05-25,"November 30, 2018"
676,Lewis Capaldi,Someone You Loved,85,NA,NA,2019-05-25,"November 8, 2018"
677,Cody Johnson,On My Way To You,86,84,12,2019-05-25,"August 10, 2018"
678,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,87,69,3,2019-05-25,"April 25, 2019"
679,Ella Mai,Shot Clock,88,62,16,2019-05-25,"October 12, 2018"
680,"Lauv, Troye Sivan",I'm So Tired...,89,81,6,2019-05-25,"January 24, 2019"
681,Billie Eilish,Ocean Eyes,90,84,13,2019-05-25,"November 19, 2015"
682,Bazzi,Paradise,91,91,2,2019-05-25,"April 4, 2019"
683,Billie Eilish,You Should See Me In A Crown,92,41,8,2019-05-25,"July 18, 2018"
684,Dan + Shay,All To Myself,93,93,2,2019-05-25,"May 3, 2018"
685,Avicii,SOS,94,68,4,2019-05-25,"April 10, 2019"
686,"Nicky Jam, Ozuna",Te Robare,95,NA,NA,2019-05-25,"March 22, 2019"
687,Billie Eilish,Wish You Were Gay,96,31,11,2019-05-25,"March 4, 2019"
688,Lil Uzi Vert,That's A Rack,97,76,5,2019-05-25,"April 9, 2019"
689,2 Chainz,Rule The World,98,94,2,2019-05-25,"March 1, 2019"
690,Roddy Ricch,Die Young,99,99,2,2019-05-25,"July 3, 2018"
691,Lizzo,Juice,100,NA,NA,2019-05-25,"January 4, 2019"
692,Lil Nas X,Old Town Road,1,1,0,2019-05-18,"April 5, 2019"
693,Shawn Mendes,If I Can't Have You,2,NA,NA,2019-05-18,"May 3, 2019"
694,Taylor Swift,ME!,3,2,3,2019-05-18,"April 26, 2019"
695,Jonas Brothers,Sucker,4,1,10,2019-05-18,"March 1, 2019"
696,Logic,Homicide,5,NA,NA,2019-05-18,"May 3, 2019"
697,Post Malone,Wow.,6,2,20,2019-05-18,"December 24, 2018"
698,"Post Malone, Swae Lee",Sunflower,7,1,29,2019-05-18,"October 18, 2018"
699,Halsey,Without Me,8,1,31,2019-05-18,"October 4, 2018"
700,Billie Eilish,Bad Guy,9,7,6,2019-05-18,"March 29, 2019"
701,Ariana Grande,7 Rings,10,1,16,2019-05-18,"January 18, 2019"
702,"Sam Smith, Normani",Dancing With A Stranger,11,7,17,2019-05-18,"January 11, 2019"
703,Khalid,Talk,12,8,13,2019-05-18,"February 7, 2019"
704,Ava Max,Sweet But Psycho,13,11,21,2019-05-18,"August 17, 2018"
705,J. Cole,Middle Child,14,4,16,2019-05-18,"January 23, 2019"
706,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",15,2,13,2019-05-18,"February 8, 2019"
707,"Marshmello, Bastille",Happier,16,2,38,2019-05-18,"August 17, 2018"
708,Meek Mill,Going Bad,17,6,23,2019-05-18,"November 30, 2018"
709,"benny blanco, Halsey, Khalid",Eastside,18,9,43,2019-05-18,"July 12, 2018"
710,"Lady Gaga, Bradley Cooper",Shallow,19,1,32,2019-05-18,"September 27, 2018"
711,Panic! At The Disco,High Hopes,20,4,40,2019-05-18,"May 23, 2018"
712,Khalid,Better,21,8,34,2019-05-18,"September 14, 2018"
713,DaBaby,Suge,22,22,6,2019-05-18,"March 1, 2019"
714,"Cardi B, Bruno Mars",Please Me,23,3,12,2019-05-18,"February 15, 2019"
715,"Mustard, Migos",Pure Water,24,23,15,2019-05-18,"January 16, 2019"
716,Maroon 5,Girls Like You,25,1,50,2019-05-18,"May 30, 2018"
717,Travis Scott,Sicko Mode,26,1,40,2019-05-18,"August 3, 2018"
718,A Boogie Wit da Hoodie,Look Back At It,27,27,22,2019-05-18,"December 7, 2018"
719,Morgan Wallen,Whiskey Glasses,28,28,10,2019-05-18,"April 27, 2018"
720,City Girls,Act Up,29,29,10,2019-05-18,"November 16, 2018"
721,21 Savage,A Lot,30,12,20,2019-05-18,"December 21, 2018"
722,"Daddy Yankee, Katy Perry",Con Calma,31,31,14,2019-05-18,"April 19, 2019"
723,Luke Combs,Beautiful Crazy,32,21,26,2019-05-18,"May 4, 2018"
724,Blake Shelton,God's Country,33,33,6,2019-05-18,"March 29, 2019"
725,Marshmello,Here With Me,34,31,9,2019-05-18,"March 8, 2019"
726,Calboy,Envy Me,35,31,21,2019-05-18,"September 13, 2018"
727,Blueface,Thotiana,36,8,17,2019-05-18,"February 16, 2019"
728,Dean Lewis,Be Alright,37,23,28,2019-05-18,"June 28, 2018"
729,Chase Rice,Eyes On You,38,38,12,2019-05-18,"October 13, 2017"
730,Polo G,Pop Out,39,39,7,2019-05-18,"January 13, 2019"
731,Billie Eilish,When The Party's Over,40,29,26,2019-05-18,"October 17, 2018"
732,"Lil Baby, Gunna",Drip Too Hard,41,4,34,2019-05-18,"September 9, 2018"
733,Kane Brown,Good As You,42,42,11,2019-05-18,"October 19, 2018"
734,"Ellie Goulding, Diplo",Close To Me,43,24,25,2019-05-18,"October 24, 2018"
735,Offset,Clout,44,39,5,2019-05-18,"February 22, 2019"
736,Lauren Daigle,You Say,45,29,43,2019-05-18,"July 13, 2018"
737,Billie Eilish,Bury A Friend,46,14,15,2019-05-18,"January 30, 2019"
738,Lil Uzi Vert,Sanguine Paradise,47,28,4,2019-05-18,"April 9, 2019"
739,Ariana Grande,"Thank U, Next",48,1,27,2019-05-18,"November 3, 2018"
740,YNW Melly,Murder On My Mind,49,14,16,2019-05-18,"March 4, 2017"
741,Lizzo,Truth Hurts,50,NA,NA,2019-05-18,"September 19, 2017"
742,YK Osiris,Worth It,52,52,12,2019-05-18,"February 8, 2019"
743,The Chainsmokers,Who Do You Love,53,52,13,2019-05-18,"February 7, 2019"
744,Lil Baby,Close Friends,54,28,28,2019-05-18,"October 5, 2018"
745,Thomas Rhett,Look What God Gave Her,55,48,10,2019-05-18,"March 1, 2019"
746,Jon Pardi,Night Shift,56,56,12,2019-05-18,"June 17, 2016"
747,Lee Brice,Rumor,57,57,9,2019-05-18,"November 3, 2017"
748,P!nk,Walk Me Home,58,49,10,2019-05-18,"February 20, 2019"
749,Panic! At The Disco,"Hey Look Ma, I Made It",59,59,4,2019-05-18,"June 22, 2018"
750,Eli Young Band,Love Ain't,60,60,4,2019-05-18,"May 25, 2018"
751,Lil Dicky,Earth,61,17,3,2019-05-18,"April 19, 2019"
752,Pinkfong,Baby Shark,62,32,19,2019-05-18,"June 17, 2016"
753,A Boogie Wit da Hoodie,Swervin,63,38,20,2019-05-18,"December 21, 2018"
754,Kelsea Ballerini,Miss Me More,64,59,14,2019-05-18,"October 20, 2017"
755,Megan Thee Stallion,Big Ole Freak,65,65,5,2019-05-18,"June 11, 2018"
756,Brett Young,Here Tonight,66,42,18,2019-05-18,"September 14, 2018"
757,Beyonce,Before I Let Go,67,65,3,2019-05-18,"April 17, 2019"
758,Luke Combs,Beer Never Broke My Heart,68,NA,NA,2019-05-18,"May 8, 2019"
759,Mabel,Don't Call Me Up,69,67,7,2019-05-18,"January 18, 2019"
760,Jonas Brothers,Cool,70,27,5,2019-05-18,"April 5, 2019"
761,"YG, Tyga, Jon Z",Go Loko,71,NA,NA,2019-05-18,"May 3, 2019"
762,Maren Morris,GIRL,72,61,10,2019-05-18,"January 17, 2019"
763,Nipsey Hussle,Racks In The Middle,73,26,6,2019-05-18,"February 15, 2019"
764,Juice WRLD,Robbery,74,27,12,2019-05-18,"February 13, 2019"
765,"Summer Walker, Drake",Girls Need Love,75,37,11,2019-05-18,"February 27, 2019"
766,Old Dominion,Make It Sweet,76,56,19,2019-05-18,"October 8, 2018"
767,"Pedro Capo, Farruko",Calma,77,71,8,2019-05-18,"October 5, 2018"
768,YNW Melly,Mixed Personalities,78,42,16,2019-05-18,"January 18, 2019"
769,Florida Georgia Line,Talk You Out Of It,79,78,12,2019-05-18,"July 6, 2018"
770,Yo Gotti,Put A Date On It,80,46,15,2019-05-18,"January 25, 2019"
771,"Lauv, Troye Sivan",I'm So Tired...,81,81,5,2019-05-18,"January 24, 2019"
772,NLE Choppa,Shotta Flow,82,82,3,2019-05-18,"January 17, 2019"
773,Lil Uzi Vert,That's A Rack,83,76,4,2019-05-18,"April 9, 2019"
774,Luke Bryan,Knockin' Boots,84,84,2,2019-05-18,"March 29, 2019"
775,Meek Mill,24/7,85,54,5,2019-05-18,"November 30, 2018"
776,Billie Eilish,You Should See Me In A Crown,86,41,7,2019-05-18,"July 18, 2018"
777,Cody Johnson,On My Way To You,87,84,11,2019-05-18,"August 10, 2018"
778,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,88,69,2,2019-05-18,"April 25, 2019"
779,Brett Eldredge,Love Someone,89,89,3,2019-05-18,"June 18, 2018"
780,"SZA, The Weeknd, Travis Scott",Power Is Power,90,90,2,2019-05-18,"April 18, 2019"
781,"PnB Rock, XXXTENTACION",Middle Child,91,NA,NA,2019-05-18,"May 3, 2019"
782,Ella Mai,Shot Clock,92,62,15,2019-05-18,"October 12, 2018"
783,Billie Eilish,Ocean Eyes,93,84,12,2019-05-18,"November 19, 2015"
784,Billie Eilish,Wish You Were Gay,94,31,10,2019-05-18,"March 4, 2019"
785,"Lil Peep, iLoveMakonnen",I've Been Waiting,95,62,9,2019-05-18,"January 31, 2019"
786,Dan + Shay,All To Myself,96,NA,NA,2019-05-18,"May 3, 2018"
787,"Anuel AA, Karol G",Secreto,97,68,11,2019-05-18,"January 15, 2019"
788,Bazzi,Paradise,98,NA,NA,2019-05-18,"April 4, 2019"
789,Roddy Ricch,Die Young,99,NA,NA,2019-05-18,"July 3, 2018"
790,Ski Mask The Slump God,Faucet Failure,100,87,11,2019-05-18,"November 30, 2018"
791,Lil Nas X,Old Town Road,1,1,9,2019-05-11,"April 5, 2019"
792,Taylor Swift,ME!,2,2,2,2019-05-11,"April 26, 2019"
793,Post Malone,Wow.,3,2,19,2019-05-11,"December 24, 2018"
794,Jonas Brothers,Sucker,4,1,9,2019-05-11,"March 1, 2019"
795,"Post Malone, Swae Lee",Sunflower,5,1,28,2019-05-11,"October 18, 2018"
796,Ariana Grande,7 Rings,6,1,15,2019-05-11,"January 18, 2019"
797,Halsey,Without Me,7,1,30,2019-05-11,"October 4, 2018"
798,"Sam Smith, Normani",Dancing With A Stranger,8,7,16,2019-05-11,"January 11, 2019"
799,Billie Eilish,Bad Guy,9,7,5,2019-05-11,"March 29, 2019"
800,Khalid,Talk,10,8,12,2019-05-11,"February 7, 2019"
801,Ava Max,Sweet But Psycho,11,11,20,2019-05-11,"August 17, 2018"
802,J. Cole,Middle Child,12,4,15,2019-05-11,"January 23, 2019"
803,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",13,2,12,2019-05-11,"February 8, 2019"
804,"Marshmello, Bastille",Happier,14,2,37,2019-05-11,"August 17, 2018"
805,"Lady Gaga, Bradley Cooper",Shallow,15,1,31,2019-05-11,"September 27, 2018"
806,Meek Mill,Going Bad,16,6,22,2019-05-11,"November 30, 2018"
807,"benny blanco, Halsey, Khalid",Eastside,17,9,42,2019-05-11,"July 12, 2018"
808,Panic! At The Disco,High Hopes,18,4,39,2019-05-11,"May 23, 2018"
809,"Cardi B, Bruno Mars",Please Me,19,3,11,2019-05-11,"February 15, 2019"
810,Khalid,Better,20,8,33,2019-05-11,"September 14, 2018"
811,Maroon 5,Girls Like You,21,1,49,2019-05-11,"May 30, 2018"
812,21 Savage,A Lot,22,12,19,2019-05-11,"December 21, 2018"
813,"Mustard, Migos",Pure Water,23,23,14,2019-05-11,"January 16, 2019"
814,Travis Scott,Sicko Mode,24,1,39,2019-05-11,"August 3, 2018"
815,Blueface,Thotiana,25,8,16,2019-05-11,"February 16, 2019"
816,Dean Lewis,Be Alright,26,23,27,2019-05-11,"June 28, 2018"
817,DaBaby,Suge,27,27,5,2019-05-11,"March 1, 2019"
818,Luke Combs,Beautiful Crazy,28,21,25,2019-05-11,"May 4, 2018"
819,A Boogie Wit da Hoodie,Look Back At It,29,28,21,2019-05-11,"December 7, 2018"
820,City Girls,Act Up,30,30,9,2019-05-11,"November 16, 2018"
821,Marshmello,Here With Me,31,31,8,2019-05-11,"March 8, 2019"
822,Calboy,Envy Me,32,31,20,2019-05-11,"September 13, 2018"
823,Morgan Wallen,Whiskey Glasses,33,33,9,2019-05-11,"April 27, 2018"
824,Blake Shelton,God's Country,34,34,5,2019-05-11,"March 29, 2019"
825,"Daddy Yankee, Katy Perry",Con Calma,35,34,13,2019-05-11,"April 19, 2019"
826,"Ellie Goulding, Diplo",Close To Me,36,24,24,2019-05-11,"October 24, 2018"
827,"Lil Baby, Gunna",Drip Too Hard,37,4,33,2019-05-11,"September 9, 2018"
828,Chase Rice,Eyes On You,38,38,11,2019-05-11,"October 13, 2017"
829,Billie Eilish,When The Party's Over,39,29,25,2019-05-11,"October 17, 2018"
830,Lil Dicky,Earth,41,17,2,2019-05-11,"April 19, 2019"
831,Lil Uzi Vert,Sanguine Paradise,42,28,3,2019-05-11,"April 9, 2019"
832,Lauren Daigle,You Say,43,29,42,2019-05-11,"July 13, 2018"
833,YNW Melly,Murder On My Mind,44,14,15,2019-05-11,"March 4, 2017"
834,Billie Eilish,Bury A Friend,45,14,14,2019-05-11,"January 30, 2019"
835,Kane Brown,Good As You,46,46,10,2019-05-11,"October 19, 2018"
836,Offset,Clout,47,39,4,2019-05-11,"February 22, 2019"
837,Ariana Grande,"Thank U, Next",48,1,26,2019-05-11,"November 3, 2018"
838,P!nk,Walk Me Home,49,49,9,2019-05-11,"February 20, 2019"
839,5 Seconds Of Summer,Youngblood,50,7,48,2019-05-11,"April 12, 2018"
840,Polo G,Pop Out,51,51,6,2019-05-11,"January 13, 2019"
841,The Chainsmokers,Who Do You Love,52,52,12,2019-05-11,"February 7, 2019"
842,Thomas Rhett,Look What God Gave Her,53,48,9,2019-05-11,"March 1, 2019"
843,Brett Young,Here Tonight,54,42,17,2019-05-11,"September 14, 2018"
844,Pinkfong,Baby Shark,55,32,18,2019-05-11,"June 17, 2016"
845,Lil Baby,Close Friends,56,28,27,2019-05-11,"October 5, 2018"
846,YK Osiris,Worth It,57,55,11,2019-05-11,"February 8, 2019"
847,A Boogie Wit da Hoodie,Swervin,58,38,19,2019-05-11,"December 21, 2018"
848,Jon Pardi,Night Shift,59,59,11,2019-05-11,"June 17, 2016"
849,Eli Young Band,Love Ain't,60,60,3,2019-05-11,"May 25, 2018"
850,Lee Brice,Rumor,61,61,8,2019-05-11,"November 3, 2017"
851,Kelsea Ballerini,Miss Me More,62,59,13,2019-05-11,"October 20, 2017"
852,Nipsey Hussle,Racks In The Middle,63,26,5,2019-05-11,"February 15, 2019"
853,Old Dominion,Make It Sweet,64,56,18,2019-05-11,"October 8, 2018"
854,Beyonce,Before I Let Go,65,65,2,2019-05-11,"April 17, 2019"
855,Panic! At The Disco,"Hey Look Ma, I Made It",66,66,3,2019-05-11,"June 22, 2018"
856,ScHoolboy Q,Floating,67,NA,NA,2019-05-11,"April 26, 2019"
857,Juice WRLD,Robbery,68,27,11,2019-05-11,"February 13, 2019"
858,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,69,NA,NA,2019-05-11,"April 25, 2019"
859,Megan Thee Stallion,Big Ole Freak,70,70,4,2019-05-11,"June 11, 2018"
860,Mabel,Don't Call Me Up,71,67,6,2019-05-11,"January 18, 2019"
861,Jonas Brothers,Cool,72,27,4,2019-05-11,"April 5, 2019"
862,"Pedro Capo, Farruko",Calma,73,71,7,2019-05-11,"October 5, 2018"
863,"Summer Walker, Drake",Girls Need Love,74,37,10,2019-05-11,"February 27, 2019"
864,Maren Morris,GIRL,75,61,9,2019-05-11,"January 17, 2019"
865,YNW Melly,Mixed Personalities,76,42,15,2019-05-11,"January 18, 2019"
866,Lil Uzi Vert,That's A Rack,77,76,3,2019-05-11,"April 9, 2019"
867,"Lil Peep, iLoveMakonnen",I've Been Waiting,78,62,8,2019-05-11,"January 31, 2019"
868,Billie Eilish,Wish You Were Gay,79,31,9,2019-05-11,"March 4, 2019"
869,Billie Eilish,You Should See Me In A Crown,80,41,6,2019-05-11,"July 18, 2018"
870,Yo Gotti,Put A Date On It,81,46,14,2019-05-11,"January 25, 2019"
871,Florida Georgia Line,Talk You Out Of It,82,78,11,2019-05-11,"July 6, 2018"
872,"Lauv, Troye Sivan",I'm So Tired...,83,81,4,2019-05-11,"January 24, 2019"
873,Cody Johnson,On My Way To You,84,84,10,2019-05-11,"August 10, 2018"
874,ScHoolboy Q + Travis Scott,CHopstix,85,NA,NA,2019-05-11,"April 8, 2019"
875,NLE Choppa,Shotta Flow,86,86,2,2019-05-11,"January 17, 2019"
876,Ella Mai,Shot Clock,87,62,14,2019-05-11,"October 12, 2018"
877,Billie Eilish,Ocean Eyes,88,84,11,2019-05-11,"November 19, 2015"
878,"Anuel AA, Karol G",Secreto,89,68,10,2019-05-11,"January 15, 2019"
879,"Marshmello, Tyga, Chris Brown",Light It Up,90,NA,NA,2019-05-11,"April 25, 2019"
880,Brett Eldredge,Love Someone,91,91,2,2019-05-11,"June 18, 2018"
881,"SZA, The Weeknd, Travis Scott",Power Is Power,92,NA,NA,2019-05-11,"April 18, 2019"
882,Ski Mask The Slump God,Faucet Failure,93,87,10,2019-05-11,"November 30, 2018"
883,Luke Bryan,Knockin' Boots,94,NA,NA,2019-05-11,"March 29, 2019"
884,ScHoolboy Q,Numb Numb Juice,95,55,2,2019-05-11,"March 14, 2019"
885,P!nk,Love Me Anyway,96,NA,NA,2019-05-11,"April 26, 2019"
886,Meek Mill,24/7,97,54,4,2019-05-11,"November 30, 2018"
887,Avicii,SOS,99,68,3,2019-05-11,"April 10, 2019"
888,BLACKPINK,Kill This Love,100,41,4,2019-05-11,"April 5, 2019"
889,Lil Nas X,Old Town Road,1,1,8,2019-05-04,"April 5, 2019"
890,Post Malone,Wow.,2,2,18,2019-05-04,"December 24, 2018"
891,"Post Malone, Swae Lee",Sunflower,3,1,27,2019-05-04,"October 18, 2018"
892,Ariana Grande,7 Rings,4,1,14,2019-05-04,"January 18, 2019"
893,Jonas Brothers,Sucker,5,1,8,2019-05-04,"March 1, 2019"
894,Halsey,Without Me,6,1,29,2019-05-04,"October 4, 2018"
895,"Sam Smith, Normani",Dancing With A Stranger,7,7,15,2019-05-04,"January 11, 2019"
896,Khalid,Talk,8,8,11,2019-05-04,"February 7, 2019"
897,Billie Eilish,Bad Guy,9,7,4,2019-05-04,"March 29, 2019"
898,J. Cole,Middle Child,10,4,14,2019-05-04,"January 23, 2019"
899,Ava Max,Sweet But Psycho,11,11,19,2019-05-04,"August 17, 2018"
900,"Marshmello, Bastille",Happier,12,2,36,2019-05-04,"August 17, 2018"
901,"Cardi B, Bruno Mars",Please Me,13,3,10,2019-05-04,"February 15, 2019"
902,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",14,2,11,2019-05-04,"February 8, 2019"
903,"Lady Gaga, Bradley Cooper",Shallow,15,1,30,2019-05-04,"September 27, 2018"
904,Meek Mill,Going Bad,16,6,21,2019-05-04,"November 30, 2018"
905,Lil Dicky,Earth,17,NA,NA,2019-05-04,"April 19, 2019"
906,"benny blanco, Halsey, Khalid",Eastside,18,9,41,2019-05-04,"July 12, 2018"
907,Khalid,Better,19,8,32,2019-05-04,"September 14, 2018"
908,Panic! At The Disco,High Hopes,20,4,38,2019-05-04,"May 23, 2018"
909,Blueface,Thotiana,21,8,15,2019-05-04,"February 16, 2019"
910,Maroon 5,Girls Like You,22,1,48,2019-05-04,"May 30, 2018"
911,"Mustard, Migos",Pure Water,23,23,13,2019-05-04,"January 16, 2019"
912,21 Savage,A Lot,24,12,18,2019-05-04,"December 21, 2018"
913,Travis Scott,Sicko Mode,25,1,38,2019-05-04,"August 3, 2018"
914,Luke Combs,Beautiful Crazy,26,21,24,2019-05-04,"May 4, 2018"
915,Dean Lewis,Be Alright,27,23,26,2019-05-04,"June 28, 2018"
916,A Boogie Wit da Hoodie,Look Back At It,28,28,20,2019-05-04,"December 7, 2018"
917,"Ellie Goulding, Diplo",Close To Me,29,24,23,2019-05-04,"October 24, 2018"
918,City Girls,Act Up,30,30,8,2019-05-04,"November 16, 2018"
919,Calboy,Envy Me,31,31,19,2019-05-04,"September 13, 2018"
920,Lil Uzi Vert,Sanguine Paradise,32,28,2,2019-05-04,"April 9, 2019"
921,"Lil Baby, Gunna",Drip Too Hard,33,4,32,2019-05-04,"September 9, 2018"
922,"Daddy Yankee, Katy Perry",Con Calma,34,34,12,2019-05-04,"April 19, 2019"
923,YNW Melly,Murder On My Mind,35,14,14,2019-05-04,"March 4, 2017"
924,Billie Eilish,Bury A Friend,36,14,13,2019-05-04,"January 30, 2019"
925,Marshmello,Here With Me,37,37,7,2019-05-04,"March 8, 2019"
926,Billie Eilish,When The Party's Over,38,29,24,2019-05-04,"October 17, 2018"
927,Offset,Clout,39,39,3,2019-05-04,"February 22, 2019"
928,Ariana Grande,"Thank U, Next",41,1,25,2019-05-04,"November 3, 2018"
929,Post Malone,Better Now,42,3,52,2019-05-04,"April 27, 2018"
930,Blake Shelton,God's Country,43,43,4,2019-05-04,"March 29, 2019"
931,Chase Rice,Eyes On You,44,44,10,2019-05-04,"October 13, 2017"
932,Lauren Daigle,You Say,45,29,41,2019-05-04,"July 13, 2018"
933,DaBaby,Suge,46,46,4,2019-05-04,"March 1, 2019"
934,Pinkfong,Baby Shark,47,32,17,2019-05-04,"June 17, 2016"
935,Morgan Wallen,Whiskey Glasses,48,48,8,2019-05-04,"April 27, 2018"
936,Brett Young,Here Tonight,49,42,16,2019-05-04,"September 14, 2018"
937,5 Seconds Of Summer,Youngblood,50,7,47,2019-05-04,"April 12, 2018"
938,Nipsey Hussle,Racks In The Middle,51,26,4,2019-05-04,"February 15, 2019"
939,Kane Brown,Good As You,52,52,9,2019-05-04,"October 19, 2018"
940,Thomas Rhett,Look What God Gave Her,53,48,8,2019-05-04,"March 1, 2019"
941,A Boogie Wit da Hoodie,Swervin,54,38,18,2019-05-04,"December 21, 2018"
942,The Chainsmokers,Who Do You Love,55,52,11,2019-05-04,"February 7, 2019"
943,Old Dominion,Make It Sweet,56,56,17,2019-05-04,"October 8, 2018"
944,Lil Baby,Close Friends,57,28,26,2019-05-04,"October 5, 2018"
945,YK Osiris,Worth It,58,55,10,2019-05-04,"February 8, 2019"
946,Kelsea Ballerini,Miss Me More,59,59,12,2019-05-04,"October 20, 2017"
947,Polo G,Pop Out,60,60,5,2019-05-04,"January 13, 2019"
948,Jon Pardi,Night Shift,61,61,10,2019-05-04,"June 17, 2016"
949,P!nk,Walk Me Home,62,54,8,2019-05-04,"February 20, 2019"
950,YNW Melly,Mixed Personalities,63,42,14,2019-05-04,"January 18, 2019"
951,"Lil Peep, iLoveMakonnen",I've Been Waiting,64,62,7,2019-05-04,"January 31, 2019"
952,Billie Eilish,You Should See Me In A Crown,65,41,5,2019-05-04,"July 18, 2018"
953,Juice WRLD,Robbery,66,27,10,2019-05-04,"February 13, 2019"
954,Lee Brice,Rumor,67,67,7,2019-05-04,"November 3, 2017"
955,Eli Young Band,Love Ain't,68,68,2,2019-05-04,"May 25, 2018"
956,Jonas Brothers,Cool,69,27,3,2019-05-04,"April 5, 2019"
957,Mabel,Don't Call Me Up,70,67,5,2019-05-04,"January 18, 2019"
958,"Pedro Capo, Farruko",Calma,71,71,6,2019-05-04,"October 5, 2018"
959,"Summer Walker, Drake",Girls Need Love,72,37,9,2019-05-04,"February 27, 2019"
960,Billie Eilish,Wish You Were Gay,73,31,8,2019-05-04,"March 4, 2019"
961,Maren Morris,GIRL,74,61,8,2019-05-04,"January 17, 2019"
962,Beyonce,Before I Let Go,75,NA,NA,2019-05-04,"April 17, 2019"
963,Megan Thee Stallion,Big Ole Freak,76,76,3,2019-05-04,"June 11, 2018"
964,Yo Gotti,Put A Date On It,77,46,13,2019-05-04,"January 25, 2019"
965,Florida Georgia Line,Talk You Out Of It,78,78,10,2019-05-04,"July 6, 2018"
966,Ella Mai,Shot Clock,79,62,13,2019-05-04,"October 12, 2018"
967,Panic! At The Disco,"Hey Look Ma, I Made It",80,80,2,2019-05-04,"June 22, 2018"
968,"Lauv, Troye Sivan",I'm So Tired...,81,81,3,2019-05-04,"January 24, 2019"
969,Lil Uzi Vert,That's A Rack,82,76,2,2019-05-04,"April 9, 2019"
970,"Anuel AA, Karol G",Secreto,83,68,9,2019-05-04,"January 15, 2019"
971,Billie Eilish,Ocean Eyes,84,84,10,2019-05-04,"November 19, 2015"
972,Imagine Dragons,Bad Liar,85,56,9,2019-05-04,"November 6, 2018"
973,BLACKPINK,Kill This Love,86,41,3,2019-05-04,"April 5, 2019"
974,Avicii,SOS,87,68,2,2019-05-04,"April 10, 2019"
975,Ski Mask The Slump God,Faucet Failure,88,87,9,2019-05-04,"November 30, 2018"
976,Cody Johnson,On My Way To You,89,89,9,2019-05-04,"August 10, 2018"
977,French Montana,Slide,90,NA,NA,2019-05-04,"April 18, 2019"
978,"Khalid, Kane Brown",Saturday Nights,91,57,12,2019-05-04,"January 11, 2019"
979,Lil Baby,Pure Cocaine,92,46,16,2019-05-04,"November 30, 2018"
980,Brett Eldredge,Love Someone,93,NA,NA,2019-05-04,"June 18, 2018"
981,Scotty McCreery,This Is It,94,42,20,2019-05-04,"May 7, 2018"
982,Billie Eilish,My Strange Addiction,95,43,4,2019-05-04,"March 29, 2019"
983,NLE Choppa,Shotta Flow,96,NA,NA,2019-05-04,"January 17, 2019"
984,Alec Benjamin,Let Me Down Slowly,97,79,9,2019-05-04,"January 7, 2019"
985,Billie Eilish,Xanny,98,35,4,2019-05-04,"March 29, 2019"
986,Michael Ray,One That Got Away,99,67,9,2019-05-04,"June 1, 2018"
987,Taylor Swift,ME!,100,NA,NA,2019-05-04,"April 26, 2019"
988,Lil Nas X,Old Town Road,1,1,7,2019-04-27,"April 5, 2019"
989,Post Malone,Wow.,2,2,17,2019-04-27,"December 24, 2018"
990,"Post Malone, Swae Lee",Sunflower,3,1,26,2019-04-27,"October 18, 2018"
991,Ariana Grande,7 Rings,4,1,13,2019-04-27,"January 18, 2019"
992,Halsey,Without Me,5,1,28,2019-04-27,"October 4, 2018"
993,Jonas Brothers,Sucker,6,1,7,2019-04-27,"March 1, 2019"
994,"Sam Smith, Normani",Dancing With A Stranger,7,7,14,2019-04-27,"January 11, 2019"
995,Billie Eilish,Bad Guy,9,7,3,2019-04-27,"March 29, 2019"
996,"Cardi B, Bruno Mars",Please Me,10,3,9,2019-04-27,"February 15, 2019"
997,J. Cole,Middle Child,11,4,13,2019-04-27,"January 23, 2019"
998,"Marshmello, Bastille",Happier,12,2,35,2019-04-27,"August 17, 2018"
999,Ava Max,Sweet But Psycho,13,13,18,2019-04-27,"August 17, 2018"
1000,Blueface,Thotiana,14,8,14,2019-04-27,"February 16, 2019"
1001,Meek Mill,Going Bad,15,6,20,2019-04-27,"November 30, 2018"
1002,"Lady Gaga, Bradley Cooper",Shallow,16,1,29,2019-04-27,"September 27, 2018"
1003,Khalid,Better,17,8,31,2019-04-27,"September 14, 2018"
1004,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",18,2,10,2019-04-27,"February 8, 2019"
1005,"benny blanco, Halsey, Khalid",Eastside,19,9,40,2019-04-27,"July 12, 2018"
1006,Khalid,Talk,20,18,10,2019-04-27,"February 7, 2019"
1007,Panic! At The Disco,High Hopes,21,4,37,2019-04-27,"May 23, 2018"
1008,21 Savage,A Lot,22,12,17,2019-04-27,"December 21, 2018"
1009,Maroon 5,Girls Like You,23,1,47,2019-04-27,"May 30, 2018"
