ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
2666,Ariana Grande,"Thank U, Next",1,1,7,2018-12-29,"November 3, 2018"
2667,Halsey,Without Me,2,2,11,2018-12-29,"October 4, 2018"
2668,Travis Scott,Sicko Mode,3,1,20,2018-12-29,"August 3, 2018"
2669,"Post Malone, Swae Lee",Sunflower,4,4,9,2018-12-29,"October 18, 2018"
2670,"Marshmello, Bastille",Happier,5,3,18,2018-12-29,"August 17, 2018"
2671,Panic! At The Disco,High Hopes,6,5,20,2018-12-29,"May 23, 2018"
2672,Mariah Carey,All I Want For Christmas Is You,7,6,29,2018-12-29,
2673,Kodak Black,ZEZE,8,2,10,2018-12-29,"October 12, 2018"
2674,"Lil Baby, Gunna",Drip Too Hard,9,4,14,2018-12-29,"September 9, 2018"
2675,Andy Williams,It's The Most Wonderful Time Of The Year,10,10,9,2018-12-29,
2676,Brenda Lee,Rockin' Around The Christmas Tree,11,11,26,2018-12-29,
2677,Burl Ives,A Holly Jolly Christmas,12,12,9,2018-12-29,
2678,Bobby Helms,Jingle Bell Rock,13,13,24,2018-12-29,
2679,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,14,11,14,2018-12-29,"September 14, 2018"
2680,Maroon 5,Girls Like You,15,1,30,2018-12-29,"May 30, 2018"
2681,Sheck Wes,Mo Bamba,16,6,17,2018-12-29,"September 15, 2016"
2682,Nat King Cole,The Christmas Song,17,17,16,2018-12-29,
2683,"benny blanco, Halsey, Khalid",Eastside,18,16,23,2018-12-29,"July 12, 2018"
2684,Ariana Grande,Breathin,19,12,18,2018-12-29,"August 17, 2018"
2685,5 Seconds Of Summer,Youngblood,20,7,29,2018-12-29,"April 12, 2018"
2686,Post Malone,Better Now,21,3,34,2018-12-29,"April 27, 2018"
2687,Meek Mill,Going Bad,22,6,3,2018-12-29,"November 30, 2018"
2688,Juice WRLD,Lucid Dreams,23,2,32,2018-12-29,"July 1, 2017"
2689,Ariana Grande,Imagine,24,NA,NA,2018-12-29,"December 14, 2018"
2690,DJ Snake,Taki Taki,25,11,12,2018-12-29,"September 28, 2018"
2691,Bad Bunny,MIA,26,5,10,2018-12-29,"October 11, 2018"
2692,Wham!,Last Christmas,27,27,8,2018-12-29,
2693,Nosed Reindeer,Rudolph The Red,28,27,3,2018-12-29,
2694,Ella Mai,Trip,29,11,20,2018-12-29,"August 3, 2018"
2695,Cardi B,Money,30,13,9,2018-12-29,"October 23, 2018"
2696,Flipp Dinero,Leave Me Alone,31,27,14,2018-12-29,"March 14, 2018"
2697,The Ronettes,Sleigh Ride,33,33,2,2018-12-29,
2698,Jose Feliciano,Feliz Navidad,34,34,4,2018-12-29,
2699,Gene Autry,Here Comes Santa Claus,35,35,2,2018-12-29,
2700,Dan + Shay,Speechless,36,33,15,2018-12-29,"May 18, 2018"
2701,"Khalid, Normani",Love Lies,37,9,44,2018-12-29,"February 14, 2018"
2702,Bazzi,Beautiful,38,30,20,2018-12-29,"August 2, 2018"
2703,Khalid,Better,39,29,14,2018-12-29,"September 14, 2018"
2704,"Cardi B, Bad Bunny, J Balvin",I Like It,40,1,37,2018-12-29,"April 6, 2018"
2705,Perry Como,Home For The Holidays,41,NA,NA,2018-12-29,
2706,Imagine Dragons,Natural,43,13,22,2018-12-29,"July 17, 2018"
2707,"Lady Gaga, Bradley Cooper",Shallow,44,5,12,2018-12-29,"September 27, 2018"
2708,Kodak Black,Calling My Spirit,46,46,3,2018-12-29,"November 30, 2018"
2709,Paul McCartney,Wonderful Christmastime,47,NA,NA,2018-12-29,
2710,Bing Crosby,White Christmas,48,12,14,2018-12-29,
2711,Lil Wayne,Uproar,49,7,12,2018-12-29,"October 5, 2018"
2712,Darlene Love,Christmas,50,NA,NA,2018-12-29,
2713,Luke Combs,She Got The Best Of Me,51,34,19,2018-12-29,"July 1, 2014"
2714,XXXTENTACION,BAD!,52,16,6,2018-12-29,"November 9, 2018"
2715,Meek Mill,Dangerous,53,31,18,2018-12-29,"July 6, 2018"
2716,Mitchell Tenpenny,Drunk Me,54,53,19,2018-12-29,"March 26, 2018"
2717,Jimmie Allen,Best Shot,55,46,14,2018-12-29,"October 12, 2018"
2718,Mark Ronson,Nothing Breaks Like A Heart,56,56,3,2018-12-29,"November 29, 2018"
2719,"Ellie Goulding, Diplo",Close To Me,57,57,5,2018-12-29,"October 24, 2018"
2720,Kodak Black,MoshPit,58,NA,NA,2018-12-29,"December 12, 2018"
2721,Lauren Daigle,You Say,59,44,23,2018-12-29,"July 13, 2018"
2722,"Tory Lanez, Rich The Kid",Talk To Me,61,61,8,2018-12-29,"June 21, 2018"
2723,"XXXTENTACION, Lil Pump",Arms Around You,62,28,8,2018-12-29,"October 23, 2018"
2724,Dean Lewis,Be Alright,63,63,8,2018-12-29,"June 28, 2018"
2725,Pardison Fontaine,Backin' It Up,64,64,10,2018-12-29,"September 20, 2018"
2726,Dierks Bentley,Burning Man,65,65,9,2018-12-29,"May 25, 2018"
2727,The Chainsmokers,This Feeling,66,66,10,2018-12-29,"September 18, 2018"
2728,Thomas Rhett,Sixteen,67,67,6,2018-12-29,"September 8, 2017"
2729,Katy Perry,Cozy Little Christmas,68,NA,NA,2018-12-29,"November 15, 2018"
2730,Camila Cabello,Consequences,69,69,7,2018-12-29,"January 12, 2018"
2731,Lil Baby,Pure Cocaine,70,46,3,2018-12-29,"November 30, 2018"
2732,Jason Aldean,Girl Like You,71,71,4,2018-12-29,"April 13, 2018"
2733,Dustin Lynch,Good Girl,72,72,6,2018-12-29,"May 5, 2018"
2734,French Montana,No Stylist,73,47,13,2018-12-29,"September 20, 2018"
2735,Kodak Black,Testimony,74,NA,NA,2018-12-29,"September 14, 2018"
2736,Jacquees,You,75,75,4,2018-12-29,"March 30, 2018"
2737,6ix9ine,KIKA,76,44,4,2018-12-29,"November 27, 2018"
2738,Billie Eilish,When The Party's Over,77,52,9,2018-12-29,"October 17, 2018"
2739,Kip Moore,Last Shot,78,78,5,2018-12-29,"September 8, 2017"
2740,XXXTENTACION,whoa,79,37,2,2018-12-29,"December 7, 2018"
2741,"Anuel AA, Romeo Santos",Ella Quiere Beber,80,79,7,2018-12-29,"November 1, 2018"
2742,Luke Combs,Beautiful Crazy,81,58,6,2018-12-29,"May 4, 2018"
2743,"Future, Juice WRLD",Fine China,82,26,9,2018-12-29,"October 15, 2018"
2744,"Shawn Mendes, Zedd",Lost In Japan,83,48,13,2018-12-29,"September 27, 2018"
2745,Scotty McCreery,This Is It,84,84,2,2018-12-29,"May 7, 2018"
2746,Lil Baby,Close Friends,86,28,11,2018-12-29,"October 5, 2018"
2747,Ava Max,Sweet But Psycho,87,NA,NA,2018-12-29,"August 17, 2018"
2748,Kodak Black,Gnarly,88,NA,NA,2018-12-29,"December 14, 2018"
2749,"Billie Eilish, Khalid",Lovely,89,78,8,2018-12-29,"April 19, 2018"
2750,Lauren Daigle,The Christmas Song,90,NA,NA,2018-12-29,"November 23, 2018"
2751,Calboy,Envy Me,91,NA,NA,2018-12-29,"September 13, 2018"
2752,Travis Scott,Yosemite,92,25,10,2018-12-29,"August 3, 2018"
2753,"Silk City, Dua Lipa",Electricity,93,93,6,2018-12-29,"September 7, 2018"
2754,Nicki Minaj,Good Form,94,60,3,2018-12-29,"November 29, 2018"
2755,Chris Stapleton,Millionaire,95,95,3,2018-12-29,"October 20, 2017"
2756,A Boogie Wit da Hoodie,Look Back At It,96,95,2,2018-12-29,"December 7, 2018"
2757,Meek Mill,24/7,97,54,3,2018-12-29,"November 30, 2018"
2758,Meek Mill,Uptown Vibes,98,39,3,2018-12-29,"November 22, 2018"
2759,Ski Mask The Slump God,Nuketown,99,63,3,2018-12-29,"November 30, 2018"
2760,6ix9ine,MAMA,100,43,4,2018-12-29,"November 27, 2018"
2761,Ariana Grande,"Thank U, Next",1,1,6,2018-12-22,"November 3, 2018"
2762,Halsey,Without Me,2,2,10,2018-12-22,"October 4, 2018"
2763,Travis Scott,Sicko Mode,3,1,19,2018-12-22,"August 3, 2018"
2764,"Marshmello, Bastille",Happier,4,3,17,2018-12-22,"August 17, 2018"
2765,Panic! At The Disco,High Hopes,5,5,19,2018-12-22,"May 23, 2018"
2766,Mariah Carey,All I Want For Christmas Is You,6,6,28,2018-12-22,
2767,"Post Malone, Swae Lee",Sunflower,7,7,8,2018-12-22,"October 18, 2018"
2768,"Lil Baby, Gunna",Drip Too Hard,8,4,13,2018-12-22,"September 9, 2018"
2769,Kodak Black,ZEZE,9,2,9,2018-12-22,"October 12, 2018"
2770,Maroon 5,Girls Like You,10,1,29,2018-12-22,"May 30, 2018"
2771,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,11,11,13,2018-12-22,"September 14, 2018"
2772,Sheck Wes,Mo Bamba,12,6,16,2018-12-22,"September 15, 2016"
2773,Andy Williams,It's The Most Wonderful Time Of The Year,13,13,8,2018-12-22,
2774,Ariana Grande,Breathin,14,12,17,2018-12-22,"August 17, 2018"
2775,Bobby Helms,Jingle Bell Rock,15,15,23,2018-12-22,
2776,"benny blanco, Halsey, Khalid",Eastside,16,16,22,2018-12-22,"July 12, 2018"
2777,Meek Mill,Going Bad,17,6,2,2018-12-22,"November 30, 2018"
2778,Brenda Lee,Rockin' Around The Christmas Tree,18,14,25,2018-12-22,
2779,Juice WRLD,Lucid Dreams,19,2,31,2018-12-22,"July 1, 2017"
2780,Post Malone,Better Now,20,3,33,2018-12-22,"April 27, 2018"
2781,Burl Ives,A Holly Jolly Christmas,21,21,8,2018-12-22,
2782,5 Seconds Of Summer,Youngblood,22,7,28,2018-12-22,"April 12, 2018"
2783,Ella Mai,Trip,23,11,19,2018-12-22,"August 3, 2018"
2784,Nat King Cole,The Christmas Song,24,24,15,2018-12-22,
2785,DJ Snake,Taki Taki,25,11,11,2018-12-22,"September 28, 2018"
2786,Bad Bunny,MIA,26,5,9,2018-12-22,"October 11, 2018"
2787,Nosed Reindeer,Rudolph The Red,27,27,2,2018-12-22,
2788,Flipp Dinero,Leave Me Alone,28,27,13,2018-12-22,"March 14, 2018"
2789,Cardi B,Money,29,13,8,2018-12-22,"October 23, 2018"
2790,"Khalid, Normani",Love Lies,30,9,43,2018-12-22,"February 14, 2018"
2791,Wham!,Last Christmas,31,31,7,2018-12-22,
2792,XXXTENTACION,BAD!,33,16,5,2018-12-22,"November 9, 2018"
2793,Dan + Shay,Speechless,34,33,14,2018-12-22,"May 18, 2018"
2794,Khalid,Better,35,29,13,2018-12-22,"September 14, 2018"
2795,Bazzi,Beautiful,36,30,19,2018-12-22,"August 2, 2018"
2796,XXXTENTACION,whoa,37,NA,NA,2018-12-22,"December 7, 2018"
2797,"Cardi B, Bad Bunny, J Balvin",I Like It,38,1,36,2018-12-22,"April 6, 2018"
2798,"Lady Gaga, Bradley Cooper",Shallow,39,5,11,2018-12-22,"September 27, 2018"
2799,Gene Autry,Here Comes Santa Claus,40,NA,NA,2018-12-22,
2800,The Ronettes,Sleigh Ride,41,NA,NA,2018-12-22,
2801,Jose Feliciano,Feliz Navidad,42,42,3,2018-12-22,
2802,Imagine Dragons,Natural,43,13,21,2018-12-22,"July 17, 2018"
2803,Lil Wayne,Uproar,44,7,11,2018-12-22,"October 5, 2018"
2804,lovelytheband,Broken,45,29,22,2018-12-22,"July 7, 2017"
2805,Tyga,Taste,46,8,29,2018-12-22,"May 16, 2018"
2806,Luke Combs,She Got The Best Of Me,47,34,18,2018-12-22,"July 1, 2014"
2807,XXXTENTACION,Guardian Angel,48,NA,NA,2018-12-22,"December 7, 2018"
2808,Meek Mill,Dangerous,49,31,17,2018-12-22,"July 6, 2018"
2809,Ariana Grande,God Is A Woman,50,8,22,2018-12-22,"July 13, 2018"
2810,XXXTENTACION,I Don't Let Go,51,NA,NA,2018-12-22,"December 7, 2018"
2811,Jimmie Allen,Best Shot,52,46,13,2018-12-22,"October 12, 2018"
2812,Kodak Black,Calling My Spirit,53,53,2,2018-12-22,"November 30, 2018"
2813,Mitchell Tenpenny,Drunk Me,54,53,18,2018-12-22,"March 26, 2018"
2814,Lil Baby,Pure Cocaine,55,46,2,2018-12-22,"November 30, 2018"
2815,"Shawn Mendes, Zedd",Lost In Japan,56,48,12,2018-12-22,"September 27, 2018"
2816,"XXXTENTACION, Lil Pump",Arms Around You,57,28,7,2018-12-22,"October 23, 2018"
2817,Lauren Daigle,You Say,58,44,22,2018-12-22,"July 13, 2018"
2818,"Ellie Goulding, Diplo",Close To Me,59,59,4,2018-12-22,"October 24, 2018"
2819,6ix9ine,KIKA,60,44,3,2018-12-22,"November 27, 2018"
2820,Meek Mill,What's Free,61,20,2,2018-12-22,"November 30, 2018"
2821,XXXTENTACION,One Minute,62,NA,NA,2018-12-22,"December 7, 2018"
2822,Dean Lewis,Be Alright,63,63,7,2018-12-22,"June 28, 2018"
2823,XXXTENTACION,Train Food,64,NA,NA,2018-12-22,"December 7, 2018"
2824,XXXTENTACION,What Are You So Afraid Of,65,NA,NA,2018-12-22,"December 7, 2018"
2825,Pardison Fontaine,Backin' It Up,66,65,9,2018-12-22,"September 20, 2018"
2826,XXXTENTACION,Staring At The Sky,68,NA,NA,2018-12-22,"December 7, 2018"
2827,Billie Eilish,When The Party's Over,69,52,8,2018-12-22,"October 17, 2018"
2828,NF,Lie,70,48,20,2018-12-22,"October 6, 2017"
2829,The Chainsmokers,This Feeling,71,71,9,2018-12-22,"September 18, 2018"
2830,Camila Cabello,Consequences,72,72,6,2018-12-22,"January 12, 2018"
2831,Dierks Bentley,Burning Man,73,69,8,2018-12-22,"May 25, 2018"
2832,"Tory Lanez, Rich The Kid",Talk To Me,74,72,7,2018-12-22,"June 21, 2018"
2833,6ix9ine,MAMA,75,43,3,2018-12-22,"November 27, 2018"
2834,Thomas Rhett,Sixteen,76,76,5,2018-12-22,"September 8, 2017"
2835,Jason Aldean,Girl Like You,77,77,3,2018-12-22,"April 13, 2018"
2836,6ix9ine,WAKA,78,51,3,2018-12-22,"November 27, 2018"
2837,Meek Mill,Uptown Vibes,79,39,2,2018-12-22,"November 22, 2018"
2838,Mark Ronson,Nothing Breaks Like A Heart,80,67,2,2018-12-22,"November 29, 2018"
2839,Dustin Lynch,Good Girl,81,81,5,2018-12-22,"May 5, 2018"
2840,Meek Mill,On Me,82,30,2,2018-12-22,"November 30, 2018"
2841,Jacquees,You,83,83,3,2018-12-22,"March 30, 2018"
2842,XXXTENTACION,Difference,84,NA,NA,2018-12-22,"December 7, 2018"
2843,French Montana,No Stylist,85,47,12,2018-12-22,"September 20, 2018"
2844,Meek Mill,24/7,86,54,2,2018-12-22,"November 30, 2018"
2845,Kip Moore,Last Shot,87,87,4,2018-12-22,"September 8, 2017"
2846,"Future, Juice WRLD",Fine China,89,26,8,2018-12-22,"October 15, 2018"
2847,Lil Baby,Close Friends,90,28,10,2018-12-22,"October 5, 2018"
2848,6ix9ine,TIC TOC,91,53,3,2018-12-22,"November 27, 2018"
2849,Yella Beezy,That's On Me,92,56,20,2018-12-22,"October 31, 2017"
2850,"Anuel AA, Romeo Santos",Ella Quiere Beber,93,79,6,2018-12-22,"November 1, 2018"
2851,Nicki Minaj,Good Form,94,60,2,2018-12-22,"November 29, 2018"
2852,A Boogie Wit da Hoodie,Look Back At It,95,NA,NA,2018-12-22,"December 7, 2018"
2853,Scotty McCreery,This Is It,96,NA,NA,2018-12-22,"May 7, 2018"
2854,Luke Combs,Beautiful Crazy,97,58,5,2018-12-22,"May 4, 2018"
2855,Ski Mask The Slump God,Nuketown,98,63,2,2018-12-22,"November 30, 2018"
2856,"Tyga, Nicki Minaj",Dip,99,63,6,2018-12-22,"October 29, 2018"
2857,Travis Scott,Yosemite,100,25,9,2018-12-22,"August 3, 2018"
2858,Ariana Grande,"Thank U, Next",1,1,5,2018-12-15,"November 3, 2018"
2859,Travis Scott,Sicko Mode,2,1,18,2018-12-15,"August 3, 2018"
2860,Halsey,Without Me,3,3,9,2018-12-15,"October 4, 2018"
2861,"Marshmello, Bastille",Happier,4,3,16,2018-12-15,"August 17, 2018"
2862,Panic! At The Disco,High Hopes,5,5,18,2018-12-15,"May 23, 2018"
2863,Meek Mill,Going Bad,6,NA,NA,2018-12-15,"November 30, 2018"
2864,Mariah Carey,All I Want For Christmas Is You,7,7,27,2018-12-15,
2865,Kodak Black,ZEZE,8,2,8,2018-12-15,"October 12, 2018"
2866,"Lil Baby, Gunna",Drip Too Hard,9,4,12,2018-12-15,"September 9, 2018"
2867,Sheck Wes,Mo Bamba,10,6,15,2018-12-15,"September 15, 2016"
2868,Maroon 5,Girls Like You,11,1,28,2018-12-15,"May 30, 2018"
2869,Ariana Grande,Breathin,12,12,16,2018-12-15,"August 17, 2018"
2870,Juice WRLD,Lucid Dreams,13,2,30,2018-12-15,"July 1, 2017"
2871,5 Seconds Of Summer,Youngblood,14,7,27,2018-12-15,"April 12, 2018"
2872,Post Malone,Better Now,15,3,32,2018-12-15,"April 27, 2018"
2873,Andy Williams,It's The Most Wonderful Time Of The Year,16,16,7,2018-12-15,
2874,"Post Malone, Swae Lee",Sunflower,17,9,7,2018-12-15,"October 18, 2018"
2875,"benny blanco, Halsey, Khalid",Eastside,18,17,21,2018-12-15,"July 12, 2018"
2876,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,19,14,12,2018-12-15,"September 14, 2018"
2877,Meek Mill,What's Free,20,NA,NA,2018-12-15,"November 30, 2018"
2878,Brenda Lee,Rockin' Around The Christmas Tree,21,14,24,2018-12-15,
2879,Burl Ives,A Holly Jolly Christmas,22,22,7,2018-12-15,
2880,Ella Mai,Trip,23,11,18,2018-12-15,"August 3, 2018"
2881,DJ Snake,Taki Taki,24,11,10,2018-12-15,"September 28, 2018"
2882,Bad Bunny,MIA,25,5,8,2018-12-15,"October 11, 2018"
2883,Bobby Helms,Jingle Bell Rock,26,26,22,2018-12-15,
2884,"Khalid, Normani",Love Lies,27,9,42,2018-12-15,"February 14, 2018"
2885,Cardi B,Money,28,13,7,2018-12-15,"October 23, 2018"
2886,Nat King Cole,The Christmas Song,29,29,14,2018-12-15,
2887,Meek Mill,On Me,30,NA,NA,2018-12-15,"November 30, 2018"
2888,Meek Mill,Dangerous,31,31,16,2018-12-15,"July 6, 2018"
2889,Flipp Dinero,Leave Me Alone,32,27,12,2018-12-15,"March 14, 2018"
2890,Khalid,Better,33,29,12,2018-12-15,"September 14, 2018"
2891,Wham!,Last Christmas,34,34,6,2018-12-15,
2892,Imagine Dragons,Natural,35,13,20,2018-12-15,"July 17, 2018"
2893,Nosed Reindeer,Rudolph The Red,36,NA,NA,2018-12-15,
2894,Bazzi,Beautiful,37,30,18,2018-12-15,"August 2, 2018"
2895,"Lady Gaga, Bradley Cooper",Shallow,38,5,10,2018-12-15,"September 27, 2018"
2896,Meek Mill,Uptown Vibes,39,NA,NA,2018-12-15,"November 22, 2018"
2897,Dan + Shay,Speechless,40,33,13,2018-12-15,"May 18, 2018"
2898,"Cardi B, Bad Bunny, J Balvin",I Like It,42,1,35,2018-12-15,"April 6, 2018"
2899,6ix9ine,MAMA,43,43,2,2018-12-15,"November 27, 2018"
2900,6ix9ine,KIKA,44,44,2,2018-12-15,"November 27, 2018"
2901,lovelytheband,Broken,45,29,21,2018-12-15,"July 7, 2017"
2902,Lil Baby,Pure Cocaine,46,NA,NA,2018-12-15,"November 30, 2018"
2903,Tyga,Taste,47,8,28,2018-12-15,"May 16, 2018"
2904,Ariana Grande,God Is A Woman,48,8,21,2018-12-15,"July 13, 2018"
2905,Luke Combs,She Got The Best Of Me,49,34,17,2018-12-15,"July 1, 2014"
2906,Lil Wayne,Uproar,50,7,10,2018-12-15,"October 5, 2018"
2907,6ix9ine,WAKA,51,51,2,2018-12-15,"November 27, 2018"
2908,6ix9ine,FEFE,52,3,20,2018-12-15,"July 22, 2018"
2909,6ix9ine,TIC TOC,53,53,2,2018-12-15,"November 27, 2018"
2910,Meek Mill,24/7,54,NA,NA,2018-12-15,"November 30, 2018"
2911,Meek Mill,Intro,55,NA,NA,2018-12-15,"October 28, 2012"
2912,Mitchell Tenpenny,Drunk Me,56,53,17,2018-12-15,"March 26, 2018"
2913,Meek Mill,Respect The Game,57,NA,NA,2018-12-15,"November 30, 2018"
2914,Cardi B,Ring,58,28,20,2018-12-15,"April 6, 2018"
2915,Jimmie Allen,Best Shot,59,46,12,2018-12-15,"October 12, 2018"
2916,Nicki Minaj,Good Form,60,NA,NA,2018-12-15,"November 29, 2018"
2917,Meek Mill,Trauma,61,NA,NA,2018-12-15,"October 30, 2012"
2918,Lil Baby,Time,62,NA,NA,2018-12-15,"November 30, 2018"
2919,Ski Mask The Slump God,Nuketown,63,NA,NA,2018-12-15,"November 30, 2018"
2920,Kodak Black,Calling My Spirit,64,NA,NA,2018-12-15,"November 30, 2018"
2921,NF,Lie,65,48,19,2018-12-15,"October 6, 2017"
2922,Lil Baby,Ready,66,NA,NA,2018-12-15,"November 30, 2018"
2923,Mark Ronson,Nothing Breaks Like A Heart,67,NA,NA,2018-12-15,"November 29, 2018"
2924,Billie Eilish,When The Party's Over,68,52,7,2018-12-15,"October 17, 2018"
2925,Lauren Daigle,You Say,69,44,21,2018-12-15,"July 13, 2018"
2926,Meek Mill,Championships,70,NA,NA,2018-12-15,"November 29, 2018"
2927,"Shawn Mendes, Zedd",Lost In Japan,71,48,11,2018-12-15,"September 27, 2018"
2928,Meek Mill,Tic Tac Toe,72,NA,NA,2018-12-15,"November 30, 2018"
2929,Meek Mill,Almost Slipped,73,NA,NA,2018-12-15,"November 30, 2018"
2930,"XXXTENTACION, Lil Pump",Arms Around You,74,28,6,2018-12-15,"October 23, 2018"
2931,XXXTENTACION,BAD!,75,16,4,2018-12-15,"November 9, 2018"
2932,Meek Mill,Splash Warning,77,NA,NA,2018-12-15,"November 30, 2018"
2933,Meek Mill,Pay You Back,78,NA,NA,2018-12-15,"November 30, 2018"
2934,Dean Lewis,Be Alright,79,65,6,2018-12-15,"June 28, 2018"
2935,Yella Beezy,That's On Me,80,56,19,2018-12-15,"October 31, 2017"
2936,Ski Mask The Slump God,Foot Fungus,81,NA,NA,2018-12-15,"November 30, 2018"
2937,Lil Baby,Crush A Lot,82,NA,NA,2018-12-15,"November 30, 2018"
2938,"Tory Lanez, Rich The Kid",Talk To Me,83,72,6,2018-12-15,"June 21, 2018"
2939,Lil Baby,Close Friends,84,28,9,2018-12-15,"October 5, 2018"
2940,Meek Mill,Oodles O' Noodles Babies,85,NA,NA,2018-12-15,"November 22, 2018"
2941,Pardison Fontaine,Backin' It Up,86,65,8,2018-12-15,"September 20, 2018"
2942,The Chainsmokers,This Feeling,87,73,8,2018-12-15,"September 18, 2018"
2943,"Future, Juice WRLD",Fine China,88,26,7,2018-12-15,"October 15, 2018"
2944,6ix9ine,STOOPID,89,25,9,2018-12-15,"October 5, 2018"
2945,Dierks Bentley,Burning Man,90,69,7,2018-12-15,"May 25, 2018"
2946,Lil Baby,Global,91,NA,NA,2018-12-15,"November 30, 2018"
2947,"Ellie Goulding, Diplo",Close To Me,93,93,3,2018-12-15,"October 24, 2018"
2948,Camila Cabello,Consequences,94,77,5,2018-12-15,"January 12, 2018"
2949,French Montana,No Stylist,95,47,11,2018-12-15,"September 20, 2018"
2950,Dustin Lynch,Good Girl,96,81,4,2018-12-15,"May 5, 2018"
2951,"Anuel AA, Romeo Santos",Ella Quiere Beber,97,79,5,2018-12-15,"November 1, 2018"
2952,Lil Baby,Word On The Street,98,NA,NA,2018-12-15,"November 30, 2018"
2953,Thomas Rhett,Sixteen,99,87,4,2018-12-15,"September 8, 2017"
2954,Jacquees,You,100,90,2,2018-12-15,"March 30, 2018"
2955,Travis Scott,Sicko Mode,1,1,7,2018-12-08,"August 3, 2018"
2956,Ariana Grande,"Thank U, Next",2,1,4,2018-12-08,"November 3, 2018"
2957,"Marshmello, Bastille",Happier,3,3,15,2018-12-08,"August 17, 2018"
2958,Halsey,Without Me,4,4,8,2018-12-08,"October 4, 2018"
2959,Panic! At The Disco,High Hopes,5,5,17,2018-12-08,"May 23, 2018"
2960,Sheck Wes,Mo Bamba,6,6,14,2018-12-08,"September 15, 2016"
2961,Kodak Black,ZEZE,7,2,7,2018-12-08,"October 12, 2018"
2962,"Lil Baby, Gunna",Drip Too Hard,8,4,11,2018-12-08,"September 9, 2018"
2963,Maroon 5,Girls Like You,9,1,27,2018-12-08,"May 30, 2018"
2964,Juice WRLD,Lucid Dreams,10,2,29,2018-12-08,"July 1, 2017"
2965,Post Malone,Better Now,11,3,31,2018-12-08,"April 27, 2018"
2966,5 Seconds Of Summer,Youngblood,12,7,26,2018-12-08,"April 12, 2018"
2967,Ariana Grande,Breathin,13,13,15,2018-12-08,"August 17, 2018"
2968,Mariah Carey,All I Want For Christmas Is You,14,9,26,2018-12-08,
2969,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,15,14,11,2018-12-08,"September 14, 2018"
2970,Ella Mai,Trip,16,11,17,2018-12-08,"August 3, 2018"
2971,"Post Malone, Swae Lee",Sunflower,17,9,6,2018-12-08,"October 18, 2018"
2972,"benny blanco, Halsey, Khalid",Eastside,18,17,20,2018-12-08,"July 12, 2018"
2973,Bad Bunny,MIA,19,5,7,2018-12-08,"October 11, 2018"
2974,"Khalid, Normani",Love Lies,20,9,41,2018-12-08,"February 14, 2018"
2975,Andy Williams,It's The Most Wonderful Time Of The Year,21,21,6,2018-12-08,
2976,DJ Snake,Taki Taki,22,11,9,2018-12-08,"September 28, 2018"
2977,Brenda Lee,Rockin' Around The Christmas Tree,23,14,23,2018-12-08,
2978,Cardi B,Money,24,13,6,2018-12-08,"October 23, 2018"
2979,Imagine Dragons,Natural,25,13,19,2018-12-08,"July 17, 2018"
2980,Burl Ives,A Holly Jolly Christmas,26,26,6,2018-12-08,
2981,Flipp Dinero,Leave Me Alone,27,27,11,2018-12-08,"March 14, 2018"
2982,"Lady Gaga, Bradley Cooper",Shallow,28,5,9,2018-12-08,"September 27, 2018"
2983,Khalid,Better,29,29,11,2018-12-08,"September 14, 2018"
2984,Bazzi,Beautiful,30,30,17,2018-12-08,"August 2, 2018"
2985,"Cardi B, Bad Bunny, J Balvin",I Like It,31,1,34,2018-12-08,"April 6, 2018"
2986,lovelytheband,Broken,32,29,20,2018-12-08,"July 7, 2017"
2987,Bobby Helms,Jingle Bell Rock,33,29,21,2018-12-08,
2988,Ariana Grande,God Is A Woman,34,8,20,2018-12-08,"July 13, 2018"
2989,Tyga,Taste,35,8,27,2018-12-08,"May 16, 2018"
2990,6ix9ine,FEFE,36,3,19,2018-12-08,"July 22, 2018"
2991,Drake,In My Feelings,37,1,22,2018-12-08,"June 29, 2018"
2992,Dan + Shay,Speechless,38,33,12,2018-12-08,"May 18, 2018"
2993,Nat King Cole,The Christmas Song,39,37,13,2018-12-08,
2994,Lil Wayne,Uproar,40,7,9,2018-12-08,"October 5, 2018"
2995,Kane Brown,Lose It,41,28,20,2018-12-08,"June 7, 2018"
2996,Luke Combs,She Got The Best Of Me,42,34,16,2018-12-08,"July 1, 2014"
2997,Wham!,Last Christmas,43,41,5,2018-12-08,
2998,"Lil Baby, Drake",Yes Indeed,44,6,29,2018-12-08,"May 12, 2018"
2999,Dan + Shay,Tequila,45,21,38,2018-12-08,"January 10, 2018"
3000,Drake,Nonstop,46,2,22,2018-12-08,"June 29, 2018"
3001,Cardi B,Ring,47,28,19,2018-12-08,"April 6, 2018"
3002,Meek Mill,Dangerous,48,48,15,2018-12-08,"July 6, 2018"
3003,Jimmie Allen,Best Shot,49,46,11,2018-12-08,"October 12, 2018"
3004,Ella Mai,Boo'd Up,50,5,35,2018-12-08,"February 24, 2017"
3005,NF,Lie,51,48,18,2018-12-08,"October 6, 2017"
